Country (In thousand 60-kg bags),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Algeria,"1,058.887","1,782.264",862.266,"1,470.025","1,697.675",897.735,"1,229.068","1,461.023",475.395,"2,227.745","1,778.847","1,454.679","1,852.256","1,752.312","2,159.302","1,891.630","1,836.233","1,968.357","2,117.536","2,066.220","2,021.446","1,942.379","2,116.647","2,124.726","2,153.974","2,159.120","2,323.130","2,190.164","1,819.133","2,259.792"
Benin,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.780,4.325,0.458,1.789,8.917,3.367,0.552,1.552,1.871,3.514,4.540,6.333,8.087,12.718,7.674,6.309,10.640,15.769,11.973,15.570,22.396,12.339
Botswana,12.974,11.536,18.099,22.070,20.425,9.249,26.427,13.261,29.537,37.428,20.736,17.493,17.759,35.426,34.162,35.041,17.963,12.514,33.303,24.214,22.017,23.347,30.700,22.127,20.760,32.991,23.295,21.018,5.776,17.567
Burkina Faso,5.534,7.054,1.893,7.071,8.431,13.125,11.419,12.010,16.345,22.185,13.842,10.565,14.613,32.068,26.162,20.790,4.574,32.578,20.581,38.250,60.257,70.139,65.029,78.134,82.762,127.510,91.640,106.900,126.316,104.666
Cape Verde,1.670,7.119,17.500,9.968,8.026,12.591,13.053,7.706,8.742,9.226,9.800,9.762,9.250,10.695,13.883,10.519,10.854,9.717,11.264,10.650,11.342,10.558,12.326,11.682,11.226,11.107,12.259,13.529,13.943,11.236
Chad,0.200,0.200,0.200,0.200,2.406,1.442,1.782,1.053,0.260,0.260,1.517,0.333,0.139,5.195,1.917,3.530,3.609,4.319,4.239,3.676,3.626,0.312,0.179,0.245,0.244,0.622,0.890,2.922,11.742,3.260
Comoros,0.000,0.000,0.081,0.208,0.062,0.022,0.084,0.139,0.051,0.107,0.056,0.082,0.215,0.139,0.189,0.271,0.286,0.143,0.165,0.247,0.443,0.634,1.847,0.416,0.346,0.451,1.240,0.734,1.526,1.665
Djibouti,0.470,0.401,0.586,0.935,0.537,0.378,0.338,0.159,0.178,0.129,0.198,0.833,2.986,4.749,2.863,27.606,12.380,21.257,13.813,16.820,10.462,8.916,3.680,26.490,21.270,32.195,26.458,45.519,36.591,17.934
Egypt,85.572,107.912,133.279,107.711,92.064,125.324,150.205,213.649,116.165,140.651,95.147,79.092,111.507,107.641,117.679,125.684,115.986,151.008,386.120,323.490,297.269,438.905,694.826,"1,035.802",592.979,725.506,918.168,565.804,700.106,"1,395.487"
Swaziland,5.000,5.000,13.054,16.468,5.150,3.003,2.286,7.026,9.853,8.907,22.652,10.731,19.316,59.281,18.368,17.396,10.435,19.266,22.255,22.255,22.255,7.391,7.391,25.623,8.924,15.878,12.279,7.003,8.061,5.609
