coffee name,coffee rating,roaster name,roaster city,coffee origin country,coffee origin city,roast level,price,aroma,acidity,body,flavor,aftertaste,species (variety),price per kg USD,roaster country
Colombia Pink Bourbon,95,modcup,Jersey City,Colombia,Piendamó;Cauca Department,Light,30.0,9,9,9,9,9,Bourbon,120.0,United States of America
Kenya Kiambu Mandela Estate AA Washed Process,94,Buon Caffe,Taipei,Kenya,Kiambu County,Medium-Light,11.52,9,9,9,9,8,SL28;SL34,50.793650793650784,Taiwan
Costa Rica Volcán Azul Geisha Yeast-Washed,94,Kafe Coffee Roastery,Zhubei,Costa Rica,West Valley,Light,11.52,9,9,9,9,8,Geisha,115.2,Taiwan
Ethiopia Yirgacheffe Adame G1 Natural,94,Caoban Coffee,Taipei,Ethiopia,Yirgacheffe growing region,Light,18.15,9,9,9,9,8,,80.02645502645501,Taiwan
Kenya Gichathaini,94,Temple Coffee,Sacramento,Kenya,Mathira West District;Nyeri growing region,Light,25.0,9,9,9,9,8,SL28;SL34;Ruiru 11,73.48834474852288,United States of America
Guatemala Retiro del Quisaya Natural Process,94,Durango Coffee Company,Durango,Guatemala,San Martin Jilotepeque;Chimaltenango Department,Medium-Light,18.95,9,9,9,9,8,Bourbon;Pache;Typica,55.704165319380344,Mexico
Ethiopia Sidama Karamo Anaerobic Natural,94,RamsHead Coffee Roasters,Bozeman,Ethiopia,Sidamo growing region,Medium-Light,35.0,9,9,9,9,8,Heirloom,102.88368264793205,United States of America
Colombia Geiner Montano,94,Temple Coffee,Sacramento,Colombia,Huila Department,Medium-Light,24.5,9,9,9,9,8,Castillo,72.01857785355243,United States of America
Kabiufa Papua New Guinea,94,JBC Coffee Roasters,Madison,Papua New Guinea,Kabiufa;Eastern Highlands,Medium-Light,20.0,9,9,9,8,9,Bourbon;Typica,58.79067579881831,United States of America
Ka‘u Red Catuai Peaberry,94,Paradise Roasters,Hilo,Hawaii,Ka‘u growing region,Medium-Light,30.0,9,9,9,9,8,Catuai,264.55026455026456,United States of America
Ethiopia Kayon Mountain,94,Roadmap CoffeeWorks,Lexington,Ethiopia,Odo Shakiso District;Guji Zone,Light,20.95,9,9,9,9,8,Landrace,61.58323289926217,United States of America
Panama Finca Las Nubes Geisha Microlot,94,Vermont Artisan Coffee & Tea,Waterbury Center,Panama,Boquete growing region,Medium-Light,15.0,9,9,9,9,8,Geisha,66.13756613756614,United States of America
Guatemala El Milagro Bourbon Especial,95,PT's Coffee Roasting Co.,Topeka,Guatemala,Huehuetenango,Medium-Light,28.0,9,9,9,9,9,Java;Bourbon,82.30694611834564,United States of America
Costa Rica William Mora,94,Press Coffee,Phoenix,Costa Rica,Tarrazu growing region,Light,28.0,9,9,9,9,8,Caturra,82.30694611834564,United States of America
Ethiopia Duromina Agaro Gera,94,Northbound Coffee Roasters,Mount Shasta,Ethiopia,Agaro Gera;Jimma Zone;Oromia State,Light,17.0,9,9,9,9,8,,49.97207442899556,United States of America
Winter 2022 Allocation Colombia,94,Press Coffee,Phoenix,Colombia,Quindio Department,Light,50.0,9,9,9,9,8,Wush Wush,293.9447383891828,United States of America
Laura’s Reserve SL34,96,Hula Daddy Kona Coffee,Holualoa,Hawaii,Holualoa;North Kona growing district,Medium-Light,69.95,9,9,9,10,9,SL28;SL34,308.4215167548501,United States of America
El Salvador 2022 COE#17 El Mirador Washed Gesha,96,Kakalove Cafe,Chia-Yi,El Salvador,Apaneca-Ilamatepec,Medium-Light,16.5,9,9,9,9,10,Geisha,145.5026455026455,Taiwan
Panama ABU Washed Gesha Lot GW57,95,Kakalove Cafe,Chia-Yi,Panama,Cañas Verdes;Boquete growing region,Light,33.0,9,9,9,9,9,Geisha,291.005291005291,Taiwan
Guatemala Natural El General Bistro Lot Espresso,94,Kakalove Cafe,Chia-Yi,Guatemala,Acatenango;Chimaltenango,Medium-Light,9.57,9,9,9,8,9,Bourbon;Catuai,42.195767195767196,Taiwan
Ethiopia 2022 COE#25 Natural Tadesse 74112,94,Kakalove Cafe,Chia-Yi,Ethiopia,Gedeo Zone;SNNPR,Light,14.85,9,9,9,9,8,,130.95238095238093,Taiwan
Ethiopia Washed Sidama Rumudamo,94,Kakalove Cafe,Chia-Yi,Ethiopia,Arbegona;Sidamo growing region,Light,12.87,9,9,9,9,8,Heirloom,56.74603174603174,Taiwan
Lemon Sugar Wash,95,Green Stone Coffee,Taipei,Ethiopia,Sidamo growing region,Medium-Light,18.15,9,9,9,9,9,,80.66666666666666,Taiwan
Kenya Kiambu AA,95,JH Roaster,Taipei,Kenya,Kiambu growing region,Medium-Light,21.45,9,9,9,9,9,SL28;SL34,95.33333333333333,Taiwan
Colombia Geisha Allium,94,Nostalgia Coffee Roasters,San Diego,Colombia,Valle de Cauca Department,Light,65.0,9,9,9,9,8,Geisha,286.59611992945327,United States of America
Wilton Benitez Orange Bourbon,96,JBC Coffee Roasters,Madison,Colombia,Piendamó;Cauca Department,Light,19.0,9,9,10,10,8,Bourbon,83.7742504409171,United States of America
Kayon Mountain Ethiopia,94,JBC Coffee Roasters,Madison,Ethiopia,Odo Shakiso District;Guji Zone,Medium-Light,18.0,9,9,9,9,8,Landrace,52.91160821893648,United States of America
Ethiopia Kochere Arefasa Washed G1,94,Desolate Cafe,Nantou,Ethiopia,Yirgacheffe growing region,Light,16.5,9,9,9,9,8,Typica,72.68722466960352,Taiwan
Colombia Granja Paraíso Java P14,95,Paradise Roasters,Minneapolis,Colombia,Cauca Department,Light,50.0,9,9,9,9,9,Java,440.9171075837742,United States of America
El Salvador Finca El Retiro Sudan Rume Natural,94,Interpretation Coffee,Chia-Yi,El Salvador,Apaneca-Ilamatepec growing region,Medium-Light,16.0,9,9,9,9,8,Sudan Rume,69.56521739130434,Taiwan
Ethiopia Hayissa Olocho Lot 6,94,PERC Coffee Roasters,Savannah,Ethiopia,Sidamo growing region,Light,27.0,9,9,9,9,8,74110;74158,95.23809523809523,United States of America
Nyeri Hill Kenya,94,JBC Coffee Roasters,Madison,Kenya,Nyeri growing region,Medium-Light,22.0,9,9,9,9,8,,64.66974337870015,United States of America
Ethiopia COE #8 Sidama Arbegona Muluneh Tute Galcho 74158 Natural,95,Small Eyes Cafe,Yilan,Ethiopia,Sidamo growing region,Light,56.1,9,9,9,9,9,74158,280.5,China
Chelbessa Ethiopia,94,JBC Coffee Roasters,Madison,Ethiopia,Yirgacheffe growing region,Medium-Light,20.0,9,9,9,9,8,Landrace,58.79067579881831,United States of America
Ka’u Tropical Punch,94,Paradise Roasters,Minneapolis,Hawaii,"[""Ka'u growing region""]",Medium-Light,25.0,9,9,9,9,8,,220.4585537918871,United States of America
Ethiopia Gesha Village Illubabor Forest Lot 22/043 (Single-Terroir) Natural Process,94,Buon Caffe,Taipei,Ethiopia,Bench-Maji Zone,Light,9.87,9,9,8,9,9,Geisha,98.7,Taiwan
Ethiopia Gera Genji Challa,94,Mostra Coffee,San Diego,Ethiopia,Agaro Gera;Jimma Zone;Oromia State,Medium-Light,28.0,9,9,9,9,8,Landrace,82.30694611834564,United States of America
Kenya Gotomboya Peaberry,94,Mostra Coffee,San Diego,Kenya,Nyeri growing region,Medium-Light,27.0,9,9,8,9,9,,79.36741232840473,United States of America
Panama Hartmann Estate Chicho Gallo Amaro Gayo Natural BOP#1,94,Buon Caffe,Taipei,Panama,Chiriqui Province,Medium-Light,18.12,9,9,9,9,8,Landrace,181.2,Taiwan
Kenya Ichamama,94,Mostra Coffee,San Diego,Kenya,Nyeri growing region,Medium-Light,28.0,9,9,9,9,8,,82.30694611834564,United States of America
Ethiopia Uchoro Nansebo Washed,95,Red Rooster Coffee Roaster,Floyd,Ethiopia,Yirgacheffe growing region,Light,27.0,9,9,9,9,9,Landrace,79.36741232840473,United States of America
Nekisse Phantom Roasting,95,BEI Coffee Roasters,Hong Kong,Ethiopia,Sidamo growing region,Light,82.55,9,9,9,9,9,,550.3333333333334,China
Colombia Finca Samboni Gesha Anaerobic Natural,94,Red Rooster Coffee Roaster,Floyd,Colombia,Algeciras;Huila Department,Medium-Light,30.0,9,9,9,9,8,Geisha,88.18601369822746,United States of America
Kambera Inari Roasting,94,BEI Coffee Roasters,Hong Kong,Panama,Piedra Candela,Light,67.31,9,9,9,9,8,Geisha,448.73333333333335,China
Colombia Don Correa Gesha,94,Roadmap CoffeeWorks,Lexington,Colombia,San Jose;Caldas,Light,32.95,9,9,9,9,8,Geisha,96.85763837855318,United States of America
Ethiopia BergWu Maker Series Yirgacheffe Wuri G1 Lot MW21/02,94,Angeles Roastery,Hong Kong,Ethiopia,Yirgacheffe growing region,Medium-Light,16.26,9,9,9,9,8,Landrace,81.30000000000001,China
Mexico Finca Santa Cruz COE#1b,94,Mute Roaster,Macao,Mexico,La Concordia;Chiapas State,Light,63.25,9,9,9,9,8,Geisha,632.5,China
Wilton Benitez Geisha,95,JBC Coffee Roasters,Madison,Colombia,Piendamó;Cauca Department,Medium-Light,25.0,9,9,9,9,9,Geisha,110.22927689594356,United States of America
Colombia Cerro Azul Geisha,95,Bird Rock Coffee Roasters,San Diego,Colombia,Trujillo;Valle del Cauca Department,Light,59.0,9,9,9,9,9,Geisha,260.14109347442684,United States of America
Yirgacheffe Mengesha Natural,94,Regent Coffee,Glendale,Ethiopia,Yirgacheffe growing region,Medium-Light,20.5,9,9,9,9,8,Geisha;Landrace,60.26044269378877,United States of America
Panama Geisha Finca Debra Symbiosis,94,Theory Coffee Roasters,Redding,Panama,Volcan growing region,Light,45.0,9,9,9,9,8,Geisha,396.8253968253968,United States of America
Panama Geisha Finca Debra Echo,94,Theory Coffee Roasters,Redding,Panama,Volcan growing region,Light,40.0,9,9,9,9,8,Geisha,200.0,United States of America
Ethiopia Hamasho Washed,95,Paradise Roasters,Minnesota,Ethiopia,Bombe Mountains;Sidama Region,Light,25.0,9,9,9,9,9,74110,73.48834474852288,United States of America
Ethiopia Idido Anaerobic Natural,95,Paradise Roasters,Minneapolis,Ethiopia,Yirgacheffe growing region,Medium-Light,20.0,9,9,9,9,9,Landrace,117.57789535567314,United States of America
Mexico Cup of Excellence #7,94,SkyTop Coffee,Manlius,Mexico,Coatepec;Veracruz State,Light,40.0,9,9,9,9,8,Geisha,117.58135159763663,United States of America
Ethiopia Reko Yirgacheffe,94,Temple Coffee,Sacramento,Ethiopia,Yirgacheffe growing region,Medium-Light,23.5,9,9,9,9,8,Landrace,69.0790440636115,United States of America
Double-Anaerobic Fermentation Tamiru Tadesse,94,Genesis Coffee Lab,Big Lake,Ethiopia,Sidamo growing region,Light,40.0,9,9,9,9,8,Landrace,141.09347442680775,United States of America
Ethiopia Chelbesa Danche Yirgacheffe,94,Jaunt Coffee Roasters,San Diego,Ethiopia,Chelchele;Gedeb District;Gedeo Zone,Medium-Light,24.0,9,9,9,9,8,Landrace;Typica,70.54881095858197,United States of America
Ethiopia Honey Process Tamiru Tadesse,94,Genesis Coffee Lab,Big Lake,Ethiopia,Sidamo growing region,Light,35.0,9,9,9,9,8,Landrace,123.45679012345678,United States of America
Ethiopia Halo Beriti,96,Roadmap CoffeeWorks,Lexington,Ethiopia,Yirgacheffe growing region,Medium-Light,20.95,9,9,9,10,9,Landrace,61.58323289926217,United States of America
Narsha Gesha,96,Corvus Coffee,Denver,Ethiopia,Bench-Maji Zone,Light,35.0,9,9,9,10,9,Geisha,175.0,United States of America
Ethiopia Washed Guji Uraga Welichu,96,Kakalove Cafe,Chia-Yi,Ethiopia,Guji Zone;Oromia Region,Medium-Light,12.38,9,9,9,10,9,,54.58553791887125,Taiwan
Don Roger & Isabel’s Natural Fruit Symphony,94,Joe Bean Roasters,Rochester,Nicaragua,Jinotega Department,Medium-Light,19.0,9,9,9,9,8,Java;Bourbon;Pache;Caturra,108.57142857142857,United States of America
Kenya Gitare AA TOP,95,Kakalove Cafe,Chia-Yi,Kenya,Embu County;Eastern Province,Light,11.22,9,9,9,9,9,,49.47089947089947,Taiwan
Yemen Natural Sana’a Manakhah Ja’adi,95,Kakalove Cafe,Chia-Yi,Yemen,"Manakhah', "" Sana'a""]",Medium-Light,29.7,9,9,9,9,9,,261.90476190476187,Taiwan
Ethiopia Bench Maji Gesha Special Natural Lot 03,95,Kakalove Cafe,Chia-Yi,Ethiopia,Bench-Maji Zone,Light,13.2,9,9,9,9,9,Geisha,58.201058201058196,Taiwan
Ethiopia Yirgacheffe Kochere Debo Premium Lot Washed Process,94,Buon Caffe,Taipei,Ethiopia,Yirgacheffe growing region,Light,15.15,9,9,9,9,8,,66.7989417989418,Taiwan
Ethiopia Natural Yirgacheffe Burtukaana Danche,94,Kakalove Cafe,Chia-Yi,Ethiopia,Gedeo Zone,Medium-Light,11.55,9,9,9,9,8,Landrace,50.925925925925924,Taiwan
Ethiopia Hateso Guji Washed,94,RamsHead Coffee Roasters,Bozeman,Ethiopia,Guji Zone;Oromia Region,Medium-Light,20.0,9,9,9,9,8,Landrace,58.79067579881831,United States of America
Guatemala El Injerto Pacamara,94,Equator Coffees,San Rafael,Guatemala,La Libertad;Huehuetenango Department,Medium-Light,22.0,9,9,9,9,8,Pacamara,129.33568489124045,United States of America
Colombia Finca Samboni Gesha Anaerobic Natural,95,Magnolia Coffee,Charlotte,Colombia,Algeciras;Huila Department,Light,45.0,9,9,9,9,9,Geisha,132.2790205473412,United States of America
Colombia Tres Dragones,94,Bird Rock Coffee Roasters,San Diego,Colombia,Caicedonia;Valle de Cauca Department,Light,23.0,9,9,9,9,8,,81.12874779541445,United States of America
Rwanda Cyesha Natural,94,Magnolia Coffee,Charlotte,Rwanda,Nyamasheke District;Lake Kivu,Medium-Light,26.0,9,9,9,9,8,Bourbon,76.4278785384638,United States of America
Espresso No. 3,94,El Gran Cafe,Antigua,Guatemala,Antigua growing region,Medium-Light,20.0,9,9,9,8,9,Villa Sarchi,58.79067579881831,Antigua and Barbuda
Finca Santa Isabel,94,El Gran Cafe,Antigua,Guatemala,Cobán growing region;Alta Verapaz Department,Medium-Light,13.0,9,9,9,9,8,Caturra,38.2139392692319,Antigua and Barbuda
Colombia Castillo Fruit Maceration Series (Passionfruit),95,modcup coffee,Jersey City,Colombia,Armenia;Quindio Department,Medium-Light,25.0,9,9,9,9,9,Castillo,110.22927689594356,United States of America
Colombia Castillo Fruit Maceration Series (Strawberry),94,modcup coffee,Jersey City,Colombia,Armenia;Quindio Department,Medium-Light,25.0,9,8,9,9,9,Castillo,110.22927689594356,United States of America
Colombia Castillo Fruit Maceration Series (Peach),94,modcup coffee,Jersey City,Colombia,Armenia;Quindio Department,Medium-Light,25.0,9,9,9,9,8,Castillo,110.22927689594356,United States of America
Full Moon Espresso,95,Kasasagi Coffee Roasters,Taipei,Ethiopia;Guatemala;El Salvador;Panama;Costa Rica,,Medium,18.15,9,9,9,8,10,Pacas,90.75,Taiwan
Ethiopia Sidama Tamiru Tadesse Anaerobic Natural Special Auction Lot,95,Euphora Coffee,Taipei,Ethiopia,Guji Zone;Oromia Region,Light,10.0,9,9,9,9,9,Landrace,88.18342151675485,Taiwan
Colombia La Esperanza 100% Geisha Hanashaku,94,VERYTIME,Taoyuan,Colombia, Valle de Cauca,Light,16.5,9,9,9,9,8,Geisha,145.5026455026455,Taiwan
Kona Extra Fancy,95,San Francisco Bay Coffee Company,Lincoln,Hawaii,Kona growing region,Medium-Light,45.99,9,9,9,9,9,Typica,135.1891589993827,United States of America
Costa Rica Las Lajas Perla Negra,94,Durango Coffee Company,Durango,Costa Rica,Sabanilla de Alajuela growing region,Medium-Light,18.95,9,9,9,9,9,Caturra,55.704165319380344,Mexico
Ecuador COE 1st place Arashi Typica Mejorado Washed,96,GK Coffee,Yilan,Ecuador,Saraguro;Loja,Light,26.4,9,9,9,10,9,Pache;Typica,1319.9999999999998,China
Ethiopia Getu Kurume Natural,95,Fumi Coffee Company,Hsinchu,Ethiopia,Yirgacheffe growing region,Light,15.18,9,9,9,9,9,Landrace,66.93121693121692,Taiwan
Fruit of the Goddess Espresso Blend,94,Cozy House Coffee,Taipei,Kenya;Costa Rica;Ethiopia,,Medium-Light,18.15,9,9,9,8,9,,39.97797356828193,Taiwan
Papua New Guinea Wahgi Valley Sigri Estate Peaberry,94,Cozy House Coffee,Taipei,Papua New Guinea,Western Highlands Province,Medium-Light,18.15,9,9,9,9,8,Typica,79.95594713656386,Taiwan
Kenya Nyeri Asali Peaberry,95,Cozy House Coffee,Taipei,Kenya,Nyeri growing region,Medium-Light,16.5,9,9,9,9,9,,72.68722466960352,Taiwan
Ethiopia Gera Estate Anaerobic Natural,95,Magnolia Coffee,Charlotte,Ethiopia,Djimma growing region;Oromia State,Medium-Light,22.0,9,9,9,9,9,Landrace,64.66974337870015,United States of America
Colombia Cauca Finca El Paraiso Double-Anaerobic Flor Lychee,95,JYL Cafe,Changhua,Colombia,Cauca Department,Medium-Light,17.16,9,9,9,9,9,Castillo,85.8,Taiwan
Memories of Autumn,94,Bargain Cafe,Taitung,Ethiopia;Colombia,,Light,13.17,9,9,9,9,8,,58.06878306878307,Taiwan
Costa Rica Cerro Dragon Geisha Honey,94,RamsHead Coffee Roasters,Bozeman,Costa Rica, Tarrazú,Medium-Light,30.0,9,9,9,9,8,Geisha,88.18601369822746,United States of America
Guatemala Washed El Injerto EI05 Mocca,96,Kakalove Cafe,Chia-Yi,Guatemala,La Libertad;Huehuetenango Department,Light,39.6,9,9,9,10,9,Mocca,349.20634920634916,Taiwan
Taiwan Natural Alishan Zhuo-Wu Geisha,95,Kakalove Cafe,Chia-Yi,Taiwan,Alishan;Chia-Yi,Medium-Light,19.8,9,9,9,9,9,Geisha,396.0,Taiwan
Ethiopia Natural Guji Uraga Tome 74110 Lot K06,95,Kakalove Cafe,Chia-Yi,Ethiopia,Guji Zone;Oromia Region,Light,10.73,9,9,9,9,9,74110,47.31040564373898,Taiwan
Kenya Gathaithi AA,94,Cimarron Coffee Roasters,Montrose,Kenya,Nyeri growing region,Medium-Light,14.0,9,9,9,9,8,SL28;SL34;Ruiru 11,56.0,United States of America
